user,create,delete,modify,total_edits
mdk,196444.0,350.0,19739.0,216533.0
eireidium,139808.0,1610.0,1842.0,143260.0
DeBigC,92576.0,1206.0,9026.0,102808.0
RustyB,16357.0,322.0,4618.0,21297.0
tshedy,17406.0,12.0,2191.0,19609.0
Seitebatso,12476.0,504.0,436.0,13416.0
GeoFrizz,8386.0,1.0,1528.0,9915.0
nuts2001,9267.0,15.0,553.0,9835.0
Joe Resort,9778.0,24.0,5.0,9807.0
Seitebatso Mohlahatsa,8570.0,224.0,157.0,8951.0
bdiscoe,7385.0,10.0,1439.0,8834.0
Lekoro,6923.0,11.0,157.0,7091.0
Kendall M,6993.0,1.0,0.0,6994.0
JordanKepler,5926.0,53.0,83.0,6062.0
AtomLaw,5827.0,0.0,8.0,5835.0
Rule16,5142.0,16.0,207.0,5365.0
nickyqn,4840.0,29.0,0.0,4869.0
DaCor,4065.0,581.0,148.0,4794.0
HannahLorne,4234.0,1.0,0.0,4235.0
Lineo,3790.0,276.0,52.0,4118.0
haileydmcclure,4046.0,5.0,0.0,4051.0
D_HUNNY,4027.0,0.0,4.0,4031.0
dlopez1016,2804.0,2.0,759.0,3565.0
teboho1702,3036.0,32.0,413.0,3481.0
WillGuill$$,2781.0,252.0,210.0,3243.0
daryldarko,1711.0,1.0,1479.0,3191.0
Leah,3142.0,6.0,36.0,3184.0
LeboM,2908.0,15.0,251.0,3174.0
Palolo,3076.0,0.0,75.0,3151.0
MylesSmith56,3090.0,19.0,1.0,3110.0
alex7113,2892.0,0.0,31.0,2923.0
Smef09,2808.0,0.0,100.0,2908.0
Tsholo,2780.0,7.0,15.0,2802.0
Johnwhelan,2674.0,5.0,74.0,2753.0
dmayes,2715.0,12.0,0.0,2727.0
kenziemccurdy,2519.0,84.0,0.0,2603.0
Stalfur,2557.0,0.0,8.0,2565.0
TamiaDFoster,2533.0,0.0,0.0,2533.0
Janie Smith,2499.0,19.0,0.0,2518.0
bigmanrb,2129.0,377.0,2.0,2508.0
harleyjsnyder,2412.0,7.0,0.0,2419.0
Majakathata,2014.0,317.0,20.0,2351.0
tumie,2319.0,18.0,6.0,2343.0
guamrachel,2329.0,4.0,9.0,2342.0
alenunez21,2323.0,0.0,0.0,2323.0
marissag,2174.0,15.0,112.0,2301.0
Brianna Whitlock,2256.0,2.0,27.0,2285.0
TopsQn,2186.0,8.0,26.0,2220.0
rjhale1971,1966.0,50.0,185.0,2201.0
BenBroWN9,2181.0,9.0,0.0,2190.0
Chas12345,2167.0,0.0,12.0,2179.0
marie erwin,2098.0,3.0,0.0,2101.0
janoelh,2036.0,58.0,0.0,2094.0
SamanthaRB,1998.0,0.0,2.0,2000.0
