user,create,delete,modify,total_edits,last_3_days
GeoFrizz,568590.0,533.0,52519.0,621642.0,14822.0
tshedy,492573.0,6107.0,52940.0,551620.0,3686.0
eireidium,353510.0,5462.0,4484.0,363456.0,570.0
ntebo,334672.0,2186.0,1342.0,338200.0,3.0
Mpaleng Oliphant,270187.0,6344.0,49870.0,326401.0,1510.0
Fifi1984,273745.0,7271.0,43671.0,324687.0,32.0
Lineo,302766.0,8853.0,12634.0,324253.0,14471.0
manobby,226623.0,13191.0,674.0,240488.0,36.0
DeBigC,181434.0,5207.0,20805.0,207446.0,4790.0
Kupie,158240.0,2548.0,34781.0,195569.0,1274.0
nuts2001,66889.0,4464.0,107324.0,178677.0,177.0
Tsholo,139644.0,5606.0,6728.0,151978.0,2.0
Mampho Shale,137101.0,5568.0,872.0,143541.0,0.0
seisa,114341.0,3334.0,2093.0,119768.0,450.0
teboho1702,52549.0,1450.0,7066.0,61065.0,688.0
Lekoro,37159.0,491.0,4329.0,41979.0,4.0
Seitebatso,35037.0,1024.0,2580.0,38641.0,1.0
nickyqn,33859.0,662.0,412.0,34933.0,0.0
Ts'epo,33240.0,544.0,95.0,33879.0,50.0
RustyB,19482.0,1648.0,5065.0,26195.0,658.0
nkarengmothibe,14539.0,1101.0,8.0,15648.0,621.0
hipzo13,13199.0,1381.0,756.0,15336.0,0.0
DaCor,6728.0,866.0,7132.0,14726.0,0.0
Ithatz,12526.0,969.0,1004.0,14499.0,319.0
fifiQn,13635.0,232.0,551.0,14418.0,48.0
montshyqn,7380.0,161.0,1182.0,8723.0,1.0
Nkhetse,3578.0,52.0,4547.0,8177.0,0.0
Dusty2,2986.0,1584.0,0.0,4570.0,0.0
tumie,4338.0,210.0,14.0,4562.0,0.0
Mabela Belz,3765.0,73.0,60.0,3898.0,0.0
dlopez1016,2804.0,137.0,759.0,3700.0,0.0
ak411,3637.0,10.0,8.0,3655.0,0.0
Mabatho,3480.0,162.0,1.0,3643.0,15.0
Khahliso,2891.0,350.0,357.0,3598.0,0.0
LeboM,2908.0,17.0,251.0,3176.0,0.0
khothatsoL,2108.0,175.0,347.0,2630.0,0.0
nyapi,2573.0,5.0,0.0,2578.0,1.0
TopsQn,2186.0,17.0,26.0,2229.0,0.0
stilatila1,1581.0,25.0,135.0,1741.0,0.0
Papali Leboela,1352.0,51.0,0.0,1403.0,0.0
Bopane,1172.0,61.0,14.0,1247.0,0.0
Hazy1983,1108.0,35.0,14.0,1157.0,0.0
mathelvo,887.0,2.0,234.0,1123.0,0.0
tello55,1017.0,12.0,3.0,1032.0,0.0
lopez2006,692.0,0.0,244.0,936.0,0.0
makhauta,700.0,137.0,4.0,841.0,0.0
Tlalane,625.0,78.0,0.0,703.0,0.0
matsele,378.0,296.0,1.0,675.0,0.0
sheaz,397.0,8.0,1.0,406.0,0.0
Mpai,349.0,0.0,0.0,349.0,0.0
tdamane,301.0,0.0,0.0,301.0,0.0
Kheekhe,290.0,11.0,0.0,301.0,0.0
kekemabona,171.0,7.0,11.0,189.0,0.0
liteboho,95.0,5.0,0.0,100.0,0.0
stivo24,74.0,2.0,1.0,77.0,0.0
wilshere,73.0,0.0,0.0,73.0,0.0
Liraneko,38.0,0.0,0.0,38.0,0.0
mojabeng,30.0,8.0,0.0,38.0,0.0
mavusana,21.0,10.0,0.0,31.0,0.0
Malerole,0.0,4.0,0.0,4.0,0.0
