District,create,delete,modify,total_edits,last_3_days
Leribe,977537.0,35965.0,11793.0,1025295.0,357.0
Quthing,548396.0,7649.0,71345.0,627390.0,3394.0
Mokhotlong,366297.0,9428.0,55428.0,431153.0,24.0
Maseru,306139.0,9656.0,13015.0,328810.0,5.0
Mohale's Hoek,166974.0,2694.0,35955.0,205623.0,10.0
Berea,67427.0,4484.0,107890.0,179801.0,1.0
Qacha's Nek,64878.0,1534.0,2186.0,68598.0,0.0
Mafeteng,24546.0,1862.0,6803.0,33211.0,5.0
Thaba-Tseka,9549.0,405.0,504.0,10458.0,0.0
Botha-Bothe,103.0,8.0,0.0,111.0,0.0
