uname,District
Makhoai,Berea
nuts2001,Berea
mojabeng,Botha-Bothe
wilshere,Botha-Bothe
Dusty2,Leribe
kekemabona,Leribe
lebusaT,Leribe
Mabela Belz,Leribe
makhauta,Leribe
Mampho Shale,Leribe
manobby,Leribe
nkareng,Leribe
ntebo,Leribe
Papali Lebeola,Leribe
seisa,Leribe
Tlalane,Leribe
Tsholo,Leribe
Boitshego,Mafeteng
Hazy1983,Mafeteng
Ithatz,Mafeteng
Lopez,Mafeteng
mathelvo,Mafeteng
Bopane,Maseru
Idobeads,Maseru
Lineo,Maseru
Mapaleng Oliphant,Mohale's Hoek
Kupie,Mohale's Hoek
Lekoro,Mokhotlong
Fifi1984,Mokhotlong
teboho1702,Mokhotlong
montshyqn,Qacha's Nek
nickyqn,Qacha's Nek
Stanley Makhanya,Qacha's Nek
TopsQn,Qacha's Nek
tumie,Qacha's Nek
fifiQn,Qacha's Nek
Stanley Makhanya,Qacha's Nek
Mabatho,Qacha's Nek
hipzo13,Quthing
tshedy,Quthing
tdamane,Quthing
Mpai,Thaba-Tseka
stivo24,Thaba-Tseka
tello55,Thaba-Tseka
ak411,Thaba-Tseka
sheaz,Leribe
khothatsoL,Maseru
stilatila1,Thaba-Tseka
Mpaleng,Mohale's Hoek
Kheekhe,Leribe
Khahliso,Thaba-Tseka
Papali Leboela,Leribe
nyapi,Mafeteng
matsele,Mafeteng
dlopez1016,Mafeteng
Nkhetse,Mafeteng
nkarengmothibe,Leribe
