user,timestamp,unique_changesets
Bopane,2015-02-28 00:00:00,13
Bopane,2015-03-31 00:00:00,0
Bopane,2015-04-30 00:00:00,0
Bopane,2015-05-31 00:00:00,0
Bopane,2015-06-30 00:00:00,0
Bopane,2015-07-31 00:00:00,0
Bopane,2015-08-31 00:00:00,24
Dusty2,2015-07-31 00:00:00,46
Dusty2,2015-08-31 00:00:00,41
Fifi1984,2015-02-28 00:00:00,1
Fifi1984,2015-03-31 00:00:00,0
Fifi1984,2015-04-30 00:00:00,0
Fifi1984,2015-05-31 00:00:00,1
Fifi1984,2015-06-30 00:00:00,0
Fifi1984,2015-07-31 00:00:00,12
Fifi1984,2015-08-31 00:00:00,420
Hazy1983,2015-02-28 00:00:00,14
Hazy1983,2015-03-31 00:00:00,1
Hazy1983,2015-04-30 00:00:00,33
Hazy1983,2015-05-31 00:00:00,0
Hazy1983,2015-06-30 00:00:00,0
Hazy1983,2015-07-31 00:00:00,3
Hazy1983,2015-08-31 00:00:00,18
Ithatz,2015-02-28 00:00:00,5
Ithatz,2015-03-31 00:00:00,17
Ithatz,2015-04-30 00:00:00,1
Ithatz,2015-05-31 00:00:00,1
Ithatz,2015-06-30 00:00:00,0
Ithatz,2015-07-31 00:00:00,587
Ithatz,2015-08-31 00:00:00,80
Khahliso,2015-06-30 00:00:00,2
Khahliso,2015-07-31 00:00:00,72
Khahliso,2015-08-31 00:00:00,43
Kheekhe,2015-02-28 00:00:00,3
Kheekhe,2015-03-31 00:00:00,0
Kheekhe,2015-04-30 00:00:00,1
Kheekhe,2015-05-31 00:00:00,0
Kheekhe,2015-06-30 00:00:00,0
Kheekhe,2015-07-31 00:00:00,59
Kheekhe,2015-08-31 00:00:00,3
Kupie,2015-07-31 00:00:00,58
Kupie,2015-08-31 00:00:00,371
LeboM,2015-02-28 00:00:00,3
LeboM,2015-03-31 00:00:00,11
LeboM,2015-04-30 00:00:00,1
LeboM,2015-05-31 00:00:00,3
LeboM,2015-06-30 00:00:00,1
LeboM,2015-07-31 00:00:00,0
LeboM,2015-08-31 00:00:00,1
Lekoro,2015-02-28 00:00:00,21
Lekoro,2015-03-31 00:00:00,8
Lekoro,2015-04-30 00:00:00,35
Lekoro,2015-05-31 00:00:00,7
Lekoro,2015-06-30 00:00:00,67
Lekoro,2015-07-31 00:00:00,189
Lekoro,2015-08-31 00:00:00,321
Lineo,2015-02-28 00:00:00,17
Lineo,2015-03-31 00:00:00,124
Lineo,2015-04-30 00:00:00,20
Lineo,2015-05-31 00:00:00,9
Lineo,2015-06-30 00:00:00,44
Lineo,2015-07-31 00:00:00,332
Lineo,2015-08-31 00:00:00,517
Liraneko,2015-02-28 00:00:00,4
Mabatho,2015-02-28 00:00:00,6
Mabatho,2015-03-31 00:00:00,0
Mabatho,2015-04-30 00:00:00,0
Mabatho,2015-05-31 00:00:00,0
Mabatho,2015-06-30 00:00:00,0
Mabatho,2015-07-31 00:00:00,129
Mabatho,2015-08-31 00:00:00,264
Mabela Belz,2015-07-31 00:00:00,8
Mabela Belz,2015-08-31 00:00:00,31
Malerole,2015-02-28 00:00:00,1
Mampho Shale,2015-02-28 00:00:00,14
Mampho Shale,2015-03-31 00:00:00,0
Mampho Shale,2015-04-30 00:00:00,0
Mampho Shale,2015-05-31 00:00:00,1
Mampho Shale,2015-06-30 00:00:00,15
Mampho Shale,2015-07-31 00:00:00,146
Mampho Shale,2015-08-31 00:00:00,558
Miss O,2015-04-30 00:00:00,15
Miss O,2015-05-31 00:00:00,0
Miss O,2015-06-30 00:00:00,0
Miss O,2015-07-31 00:00:00,1
Mpai,2015-02-28 00:00:00,2
Mpaleng Oliphant,2015-02-28 00:00:00,3
Mpaleng Oliphant,2015-03-31 00:00:00,0
Mpaleng Oliphant,2015-04-30 00:00:00,0
Mpaleng Oliphant,2015-05-31 00:00:00,0
Mpaleng Oliphant,2015-06-30 00:00:00,0
Mpaleng Oliphant,2015-07-31 00:00:00,193
Mpaleng Oliphant,2015-08-31 00:00:00,482
Nkhetse,2015-08-31 00:00:00,103
Papali Leboela,2015-02-28 00:00:00,2
Papali Leboela,2015-03-31 00:00:00,0
Papali Leboela,2015-04-30 00:00:00,1
Papali Leboela,2015-05-31 00:00:00,0
Papali Leboela,2015-06-30 00:00:00,0
Papali Leboela,2015-07-31 00:00:00,61
Papali Leboela,2015-08-31 00:00:00,3
Seitebatso,2015-02-28 00:00:00,16
Seitebatso,2015-03-31 00:00:00,24
Seitebatso,2015-04-30 00:00:00,8
Seitebatso,2015-05-31 00:00:00,9
Seitebatso,2015-06-30 00:00:00,1
Seitebatso,2015-07-31 00:00:00,26
Seitebatso,2015-08-31 00:00:00,85
Tlalane,2015-02-28 00:00:00,1
Tlalane,2015-03-31 00:00:00,0
Tlalane,2015-04-30 00:00:00,0
Tlalane,2015-05-31 00:00:00,1
Tlalane,2015-06-30 00:00:00,0
Tlalane,2015-07-31 00:00:00,118
Tlalane,2015-08-31 00:00:00,3
TopsQn,2015-02-28 00:00:00,7
TopsQn,2015-03-31 00:00:00,6
TopsQn,2015-04-30 00:00:00,9
TopsQn,2015-05-31 00:00:00,0
TopsQn,2015-06-30 00:00:00,0
TopsQn,2015-07-31 00:00:00,0
TopsQn,2015-08-31 00:00:00,3
Ts'epo,2015-03-31 00:00:00,7
Ts'epo,2015-04-30 00:00:00,3
Ts'epo,2015-05-31 00:00:00,0
Ts'epo,2015-06-30 00:00:00,0
Ts'epo,2015-07-31 00:00:00,138
Ts'epo,2015-08-31 00:00:00,112
Tsholo,2015-02-28 00:00:00,15
Tsholo,2015-03-31 00:00:00,3
Tsholo,2015-04-30 00:00:00,1
Tsholo,2015-05-31 00:00:00,0
Tsholo,2015-06-30 00:00:00,17
Tsholo,2015-07-31 00:00:00,104
Tsholo,2015-08-31 00:00:00,195
ak411,2015-07-31 00:00:00,153
ak411,2015-08-31 00:00:00,1
dlopez1016,2015-04-30 00:00:00,182
dlopez1016,2015-05-31 00:00:00,179
dlopez1016,2015-06-30 00:00:00,0
dlopez1016,2015-07-31 00:00:00,6
dlopez1016,2015-08-31 00:00:00,6
fifiQn,2015-03-31 00:00:00,21
fifiQn,2015-04-30 00:00:00,1
fifiQn,2015-05-31 00:00:00,0
fifiQn,2015-06-30 00:00:00,0
fifiQn,2015-07-31 00:00:00,183
fifiQn,2015-08-31 00:00:00,41
hipzo13,2015-07-31 00:00:00,41
hipzo13,2015-08-31 00:00:00,68
kekemabona,2015-07-31 00:00:00,29
kekemabona,2015-08-31 00:00:00,2
khothatsoL,2015-07-31 00:00:00,82
khothatsoL,2015-08-31 00:00:00,21
liteboho,2015-02-28 00:00:00,2
lopez2006,2015-06-30 00:00:00,10
lopez2006,2015-07-31 00:00:00,0
lopez2006,2015-08-31 00:00:00,18
makhauta,2015-07-31 00:00:00,77
makhauta,2015-08-31 00:00:00,18
manobby,2015-02-28 00:00:00,59
manobby,2015-03-31 00:00:00,0
manobby,2015-04-30 00:00:00,0
manobby,2015-05-31 00:00:00,0
manobby,2015-06-30 00:00:00,0
manobby,2015-07-31 00:00:00,173
manobby,2015-08-31 00:00:00,553
mathelvo,2015-02-28 00:00:00,9
mathelvo,2015-03-31 00:00:00,0
mathelvo,2015-04-30 00:00:00,0
mathelvo,2015-05-31 00:00:00,0
mathelvo,2015-06-30 00:00:00,0
mathelvo,2015-07-31 00:00:00,0
mathelvo,2015-08-31 00:00:00,11
matsele,2015-08-31 00:00:00,10
mavusana,2015-02-28 00:00:00,3
mavusana,2015-03-31 00:00:00,0
mavusana,2015-04-30 00:00:00,0
mavusana,2015-05-31 00:00:00,0
mavusana,2015-06-30 00:00:00,0
mavusana,2015-07-31 00:00:00,0
mavusana,2015-08-31 00:00:00,1
mojabeng,2015-08-31 00:00:00,3
montshyqn,2015-07-31 00:00:00,68
montshyqn,2015-08-31 00:00:00,22
nickyqn,2015-02-28 00:00:00,45
nickyqn,2015-03-31 00:00:00,169
nickyqn,2015-04-30 00:00:00,3
nickyqn,2015-05-31 00:00:00,3
nickyqn,2015-06-30 00:00:00,0
nickyqn,2015-07-31 00:00:00,139
nickyqn,2015-08-31 00:00:00,1984
nkarengmothibe,2015-07-31 00:00:00,99
nkarengmothibe,2015-08-31 00:00:00,406
ntebo,2015-02-28 00:00:00,15
ntebo,2015-03-31 00:00:00,0
ntebo,2015-04-30 00:00:00,0
ntebo,2015-05-31 00:00:00,2
ntebo,2015-06-30 00:00:00,0
ntebo,2015-07-31 00:00:00,296
ntebo,2015-08-31 00:00:00,526
nuts2001,2015-02-28 00:00:00,8
nuts2001,2015-03-31 00:00:00,21
nuts2001,2015-04-30 00:00:00,15
nuts2001,2015-05-31 00:00:00,0
nuts2001,2015-06-30 00:00:00,12
nuts2001,2015-07-31 00:00:00,91
nuts2001,2015-08-31 00:00:00,210
nyapi,2015-08-31 00:00:00,62
seisa,2015-02-28 00:00:00,5
seisa,2015-03-31 00:00:00,2
seisa,2015-04-30 00:00:00,4
seisa,2015-05-31 00:00:00,2
seisa,2015-06-30 00:00:00,0
seisa,2015-07-31 00:00:00,341
seisa,2015-08-31 00:00:00,282
sheaz,2015-07-31 00:00:00,76
stilatila1,2015-02-28 00:00:00,3
stilatila1,2015-03-31 00:00:00,0
stilatila1,2015-04-30 00:00:00,0
stilatila1,2015-05-31 00:00:00,0
stilatila1,2015-06-30 00:00:00,0
stilatila1,2015-07-31 00:00:00,20
stilatila1,2015-08-31 00:00:00,4
stivo24,2015-07-31 00:00:00,7
stivo24,2015-08-31 00:00:00,2
tdamane,2015-02-28 00:00:00,1
tdamane,2015-03-31 00:00:00,0
tdamane,2015-04-30 00:00:00,2
teboho1702,2015-02-28 00:00:00,157
teboho1702,2015-03-31 00:00:00,42
teboho1702,2015-04-30 00:00:00,23
teboho1702,2015-05-31 00:00:00,0
teboho1702,2015-06-30 00:00:00,0
teboho1702,2015-07-31 00:00:00,206
teboho1702,2015-08-31 00:00:00,573
tello55,2015-07-31 00:00:00,59
tello55,2015-08-31 00:00:00,3
tshedy,2015-02-28 00:00:00,18
tshedy,2015-03-31 00:00:00,25
tshedy,2015-04-30 00:00:00,67
tshedy,2015-05-31 00:00:00,11
tshedy,2015-06-30 00:00:00,195
tshedy,2015-07-31 00:00:00,309
tshedy,2015-08-31 00:00:00,854
tumie,2015-02-28 00:00:00,24
tumie,2015-03-31 00:00:00,77
tumie,2015-04-30 00:00:00,1
tumie,2015-05-31 00:00:00,0
tumie,2015-06-30 00:00:00,0
tumie,2015-07-31 00:00:00,123
tumie,2015-08-31 00:00:00,19
wilshere,2015-02-28 00:00:00,5
